Ticker,Alt_Ticker,Stock Name,year
SEE,,Sealed Air Corp.(New),2003
SFA,,Scientific-Atlanta,2003
SGP,,Schering-Plough,2003
SHLD,,Sears Holdings Corporation,2005
SHW,,Sherwin-Williams,2003
SIAL,,Sigma-Aldrich,2003
SIG,,Signet Jewelers,2015
SII,,Smith International,2006
SIVB,,SVB Financial,2018
SJM,,Smucker (J.M.) (New),2008
SLB,,Schlumberger Ltd.,2003
SLE,,Sara Lee Corp.,2003
SLG,,SL Green Realty,2015
SLM,,SLM Corporation,2003
SLR,,Solectron,2003
SNA,,Snap-On Inc.,2003
SNDK,,SanDisk Corporation,2006
SNI,,Scripps Networks Interactive Inc.,2008
SNPS,,Synopsys Inc.,2017
SNV,,Synovus Financial,2003
SO,,Southern Co.,2003
SOTR,,SouthTrust Corp.,2003
SOV,,Sovereign Bancorp,2004
SPC,,St. Paul Cos.,2003
SPG,,"Simon Property Group, Inc",2003
SPGI,,"S&P Global, Inc.",2016
SPLS,,Staples Inc.,2003
SRCL,,Stericycle Inc,2010
SRE,,Sempra Energy,2003
SSP,,,2006
STA,,,2004
STE,,STERIS plc,2020
STI,,SunTrust Banks,2003
STJ,,St Jude Medical,2003
STR,,Questar Corp.,2006
STT,,State Street Corp.,2003
STX,,Seagate Technology,2012
STZ,,Constellation Brands,2005
SUN,,"Sunoco., Inc.",2003
SUNW,,Sun Microsystems,2003
SVU,,Supervalu Inc.,2003
SWK,,Stanley Works,2003
SWKS,,Skyworks Solutions,2015
SWN,,Southwestern Energy,2008
SWY,,Safeway Inc.,2003
SYF,,Synchrony Financial,2015
SYK,,Stryker Corp.,2003
SYMC,,Symantec Corp.,2003
SYY,,Sysco Corp.,2003
T,,AT&T Corp.(New),2003
TAP,,Molson Coors Brewing Company,2005
TAP.B,,Travelers Property Casualty Corp.,2003
TDC,,Teradata Corp.,2008
TDG,,TransDigm Group,2016
TDY,,Teledyne Technologies,2020
TE,,TECO Energy,2003
TECH,,Bio-Techne,2021
TEG,,Integrys Energy Group Inc.,2007
TEK,,Tektronix Inc.,2003
TEL,,Tyco Electronics Ltd.,2008
TER,,Teradyne Inc.,2003
TEX,,,2006
TFC,,Truist Financial,2020
TFX,,Teleflex Inc,2019
TGNA,,Tegna,2015
TGT,,Target Corp.,2003
THC,,Tenet Healthcare Corp.,2003
TIE,,Titanium Metals Corp,2008
TIF,,Tiffany & Co.,2003
TIN,,Temple-Inland,2003
TJX,,TJX Companies Inc.,2003
TLAB,,"Tellabs, Inc.",2003
TMK,,Torchmark Corp.,2003
TMO,,Thermo Electron,2003
TMPW,,TMP Worldwide,2003
TMUS,,T-Mobile US,2019
TNB,,Thomas & Betts,2003
TOY,,"Toys R Us, Inc.",2003
TPR,,"Tapestry, Inc.",2018
TRB,,Tribune Co.,2003
TRIP,,TripAdvisor,2012
TRMB,,Trimble Inc.,2021
TROW,,T. Rowe Price Group,2003
TRV,,The Travelers Companies Inc.,2007
TSCO,,Tractor Supply Company,2014
TSG,,Sabre Holding Corp.,2003
TSLA,,"Tesla, Inc.",2021
TSN,,Tyson Foods,2005
TSO,,Tesoro Petroleum Co.,2008
TSS,,Total System Services,2008
TT,,Trane Technologies plc,2020
TTWO,,Take-Two Interactive,2018
TUP,,Tupperware Corp.,2003
TWC,,Time Warner Cable Inc.,2010
TWTR,,"Twitter, Inc.",2018
TWX,,Time Warner Inc.,2004
TXN,,Texas Instruments,2003
TXT,,Textron Inc.,2003
TXU,,TXU Corp.,2003
TYC,,Tyco International,2003
TYL,,Tyler Technologies,2020
UA,,Under Armour,2014
UA.C,,Under Armour,2016
UAA,,Under Armour,2017
UAL,,United Continental Holdings,2015
UCL,,Unocal Corp.,2003
UDR,,UDR Inc,2016
UHS,,"Universal Health Services, Inc.",2014
UIS,,Unisys Corp.,2003
ULTA,,Ulta Salon Cosmetics & Fragrance Inc,2016
UNH,,United Health Group Inc.,2003
UNM,,UNUM Corp.,2003
UNP,,Union Pacific,2003
UPC,,Union Planters Corporation,2003
UPS,,United Parcel Service,2003
URBN,,Urban Outfitters,2011
URI,,"United Rentals, Inc.",2014
USB,,U.S. Bancorp,2003
UST,,UST Inc.,2003
UTX,,United Technologies,2003
UVN,,Univision Communications,2003
V,,Visa,2010
VAR,,Varian Medical Systems,2007
VC,,Visteon Corp.,2003
VFC,,V.F. Corp.,2003
VIA.B,,Viacom Inc.,2003
VIAB,,Viacom Inc.,2011
VIAb,,Viacom Inc.,2010
VIAC,,ViacomCBS,2020
VICI,,Vici Properties,2022
VLO,,Valero Energy,2004
VMC,,Vulcan Materials,2003
VNO,,Vornado Realty Trust,2005
VNT,,Vontier,2020
VRSK,,Verisk Analytics,2015
VRSN,,Verisign Inc.,2006
VRTS,,Veritas Software,2003
VRTX,,Vertex Pharmaceuticals Inc,2014
VTR,,Ventas Inc,2010
VTRS,,Viatris,2020
VZ,,Verizon Communications,2003
WAB,,Wabtec Corporation,2019
WAG,,Walgreen Co.,2003
WAT,,Waters Corporation,2003
WB,,Wachovia Corp. (New),2003
WBA,,Walgreens Boots Alliance,2015
WBD,,Warner Bros. Discovery,2022
WCG,,WellCare,2018
WDC,,Western Digital,2010
WEC,,Wisconsin Energy Corporation,2008
WELL,,Welltower Inc.,2018
WEN,,Wendy's International,2003
WFC,,Wells Fargo,2003
WFM,,Whole Foods Market,2011
WFMI,,Whole Foods Market,2006
WFR,,MEMC Electronic Materials,2008
WFT,,Weatherford International Ltd.,2005
WHR,,Whirlpool Corp.,2003
WIN,,Winn-Dixie,2003
WLP,,WellPoint Health Networks,2003
WLTW,,Willis Towers Watson,2016
WM,,Washington Mutual,2003
WMB,,Williams Cos.,2003
WMI,,Waste Management Inc.,2003
WMT,,Wal-Mart Stores,2003
WOR,,Worthington Ind.,2003
WPI,,Watson Pharmaceuticals,2003
WPO,,Washington Post,2008
WPX,,"WPX Energy, Inc.",2012
WRB,,W. R. Berkley Corporation,2020
WRK,,Westrock Co,2015
WST,,West Pharmaceutical Services,2020
WTW,,Willis Towers Watson,2022
WU,,Western Union Co,2006
WWY,,Wrigley (Wm) Jr.,2003
WY,,Weyerhaeuser Corp.,2003
WYE,,Wyeth,2003
WYN,,Wyndham Worldwide,2006
WYNN,,Wynn Resorts Ltd,2010
X,,United States Steel Corp.,2003
XEC,,Cimarex Energy,2014
XEL,,Xcel Energy Inc,2003
XL,,XL Capital,2003
XLNX,,"Xilinx, Inc",2003
XOM,,Exxon Mobil Corp.,2003
XRAY,,Dentsply Intl,2010
XRX,,Xerox Corp.,2003
XTO,,XTO Energy Inc.,2004
XYL,,Xylem Inc.,2011
YHOO,,Yahoo Inc.,2003
YUM,,"Yum! Brands, Inc",2003
ZBH,,Zimmer Biomet Holdings,2015
ZBRA,,Zebra Technologies,2020
ZION,,Zions Bancorp,2003
ZMH,,Zimmer Holdings,2003
ZTS,,Zoetis,2013
